"Start Time","End Time","Text","Video Track","Layer ID"
"00:00:23:19","00:00:45:09","Question 1 ","2","1"
"00:00:45:09","00:01:01:15","Question 2 ","2","1"
"00:01:01:15","00:01:56:12","Question 3 ","2","1"
"00:01:56:12","00:03:22:01","Question 4 ","2","1"
"00:03:22:01","00:05:00:05","Question 5 ","2","1"
"00:05:00:05","00:05:39:35","Question 6 ","2","1"
"00:05:39:35","00:06:31:45","Question 7 ","2","1"
"00:06:31:45","00:08:10:04","Question 8 ","2","1"
"00:08:10:04","00:11:21:02","Question 9 ","2","1"
"00:11:21:02","00:12:04:36","Question 10 ","2","1"
"00:12:04:36","00:13:17:44","Question 11 ","2","1"
"00:13:17:44","00:14:37:54","Question 12 ","2","1"
"00:14:37:54","00:17:40:49","Question 13 ","2","1"
