"Start Time","End Time","Text","Video Track","Layer ID"
"00:00:22:26","00:00:48:43","Question 1 Numéro 1","2","1"
"00:00:48:43","00:01:23:15","Question 1 Numéro 2","2","1"
"00:01:23:15","00:02:17:29","Question 1 Numéro 3","2","1"
"00:02:17:29","00:03:07:10","Question 1 Numéro 4","2","1"
"00:03:07:10","00:04:57:06","Question 1 Numéro 5","2","1"
"00:04:57:06","00:06:17:58","Question 1 Numéro 6","2","1"
"00:06:17:58","00:07:47:19","Question 1 Numéro 7","2","1"
"00:07:47:19","00:08:05:59","Question 1 Numéro 7","2","1"
"00:08:05:59","00:10:59:17","Question 1 Numéro 8","2","1"
"00:10:59:17","00:14:05:28","Question 1 Numéro 9","2","1"
"00:14:05:28","00:14:25:17","Question 1 Numéro 10","2","1"
"00:14:25:17","00:15:31:34","Question 1 Numéro 11","2","1"
"00:15:31:34","00:16:10:24","Question 1 Numéro 11","2","1"
"00:16:10:24","00:18:27:37","Question 1 Numéro 12","2","1"
"00:18:27:37","00:20:47:37","Question 1 Numéro 13","2","1"
"00:20:47:37","00:22:01:30","Question 1 Numéro 14","2","1"
"00:22:01:30","00:24:22:13","Question 1 Numéro 14","2","1"
"00:24:22:13","00:25:55:38","Question 1 Numéro 15","2","1"
"00:25:55:38","00:27:10:06","Question 1 Numéro 16","2","1"
"00:27:10:06","00:28:02:05","Question 1 Numéro 17","2","1"
"00:28:02:05","00:30:32:15","Question 1 Numéro 18","2","1"
"00:30:32:15","00:33:12:36","Question 1 Numéro 19","2","1"
"00:33:12:36","00:36:44:21","Question 1 Numéro 20","2","1"
"00:36:44:21","00:37:51:06","Question 1 Numéro 21","2","1"
"00:37:51:06","00:38:47:37","Question 1 Numéro 22","2","1"
"00:38:47:37","00:39:03:57","Question 1 Numéro 23","2","1"
"00:39:03:57","00:40:58:15","Question 1 Numéro 24","2","1"
"00:40:58:15","00:41:39:12","Question 1 Numéro 25","2","1"
"00:41:39:12","00:43:26:47","Question 1 Numéro 26","2","1"
"00:43:26:47","00:44:53:12","Question 1 Numéro 27","2","1"
"00:44:53:12","00:47:16:02","Question 1 Numéro 28","2","1"
"00:47:16:02","00:48:43:24","Question 1 Numéro 29","2","1"
"00:48:43:24","00:50:47:04","Question 1 Numéro 30","2","1"
"00:50:47:04","00:53:18:56","Question 1 Numéro 31","2","1"
"00:53:18:56","00:54:21:00","Question 1 Numéro 31","2","1"
"00:54:21:00","00:55:00:25","Question 1 Numéro 32","2","1"
"00:55:00:25","00:57:18:59","Question 1 Numéro 33","2","1"
"00:57:18:59","01:01:40:16","Question 1 Numéro 34","2","1"
"01:01:40:16","01:02:21:48","Question 2 Numéro 1","2","1"
"01:02:21:48","01:02:55:56","Question 2 Numéro 1","2","1"
"01:02:55:56","01:04:11:18","Question 2 Numéro 2","2","1"
